filename,numVertices,numEdges,batch_size,tree_edges_count,total_time,source_file
coPapersDBLP.egr,540486,30491458,1000,21.4,5.63,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,10000,222.4,6.78,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,100000,2219.6,11.39,coPapersDBLP_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,100,0.4,4.7,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,1000,8.6,11.4,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,10000,83.8,11.98,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,100000,964.4,20.77,kron_g500-logn20_output_data_average.csv
road_usa.egr,23947347,57708624,100,26.0,67.78,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,1000,155.2,63.26,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,10000,2065.6,87.83,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,100000,22402.6,122.88,road_usa_output_data_average.csv
eu-2005.egr,862664,32276936,100,1.6,5.53,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,1000,19.6,6.86,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,10000,205.4,7.4,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,100000,2316.6,12.22,eu-2005_output_data_average.csv
delaunay_n24.egr,16777216,100663202,100,13.4,55.35,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,1000,161.8,59.17,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,10000,1277.2,63.31,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,100000,18941.2,91.48,delaunay_n24_output_data_average.csv
uk-2005.egr,39459925,1566080060,100,1.4,109.42,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,1000,12.4,138.85,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,10000,116.2,141.11,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,100000,1170.0,161.15,uk-2005_output_data_average.csv
kmer_P1a.egr,139353211,297845870,100,53.4,451.21,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,1000,575.6,449.89,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,10000,5530.2,713.75,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,100000,54879.4,745.04,kmer_P1a_output_data_average.csv
