filename,numVertices,numEdges,batch_size,tree_edges_count,total_time,source_file
kron_g500-logn19.egr,524288,43791852,100000,,10.03,kron_g500-logn19_output_data_average.csv
higgs-twitter.egr,456626,25017136,100,,5.15,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,1000,,6.6,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,10000,,7.22,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,100000,,8.87,higgs-twitter_output_data_average.csv
kmer_V1r.egr,214005017,465410920,100,,785.03,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,1000,,792.52,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,10000,,798.38,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,100000,,804.06,kmer_V1r_output_data_average.csv
coPapersDBLP.egr,540486,30491458,100,,6.67,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,1000,,7.12,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,10000,,8.25,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,100000,,9.64,coPapersDBLP_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,100,,12.81,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,1000,,15.14,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,10000,,16.01,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,100000,,17.22,kron_g500-logn20_output_data_average.csv
road_usa.egr,23947347,57708624,100,,94.9,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,1000,,96.94,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,10000,,100.07,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,100000,,99.66,road_usa_output_data_average.csv
eu-2005.egr,862664,32276936,100,,7.41,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,1000,,7.65,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,10000,,8.46,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,100000,,9.14,eu-2005_output_data_average.csv
delaunay_n24.egr,16777216,100663202,100,,67.28,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,1000,,69.71,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,10000,,66.13,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,100000,,74.74,delaunay_n24_output_data_average.csv
uk-2005.egr,39459925,1566080060,100,,291.96,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,1000,,291.77,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,10000,,300.09,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,100000,,298.75,uk-2005_output_data_average.csv
kmer_P1a.egr,139353211,297845870,100,,525.59,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,1000,,522.79,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,10000,,529.25,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,100000,,530.13,kmer_P1a_output_data_average.csv
