filename,numVertices,numEdges,batch_size,tree_edges_count,total_time,source_file
higgs-twitter.egr,456626,25017136,100,2.6,8.73,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,1000,23.0,8.17,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,10000,256.0,8.46,higgs-twitter_output_data_average.csv
higgs-twitter.egr,456626,25017136,100000,2615.2,8.89,higgs-twitter_output_data_average.csv
kmer_V1r.egr,214005017,465410920,100,76.6,430.55,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,1000,757.0,427.55,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,10000,7642.6,437.49,kmer_V1r_output_data_average.csv
kmer_V1r.egr,214005017,465410920,100000,76235.8,450.33,kmer_V1r_output_data_average.csv
coPapersDBLP.egr,540486,30491458,100,1.8,8.61,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,1000,20.8,8.96,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,10000,220.8,9.25,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,540486,30491458,100000,2262.4,9.97,coPapersDBLP_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,100,1.2,17.89,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,1000,8.0,18.03,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,10000,88.0,18.48,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,1048576,89745562,100000,942.6,18.94,kron_g500-logn20_output_data_average.csv
road_usa.egr,23947347,57708624,100,24.6,67.16,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,1000,240.4,68.19,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,10000,2569.4,65.58,road_usa_output_data_average.csv
road_usa.egr,23947347,57708624,100000,25785.2,70.59,road_usa_output_data_average.csv
eu-2005.egr,862664,32276936,100,2.0,9.68,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,1000,18.4,10.07,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,10000,184.0,10.18,eu-2005_output_data_average.csv
eu-2005.egr,862664,32276936,100000,1832.0,11.19,eu-2005_output_data_average.csv
delaunay_n24.egr,16777216,100663202,100,21.4,50.63,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,1000,198.8,47.57,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,10000,1951.8,49.01,delaunay_n24_output_data_average.csv
delaunay_n24.egr,16777216,100663202,100000,19545.2,53.56,delaunay_n24_output_data_average.csv
uk-2005.egr,39459925,1566080060,100,0.6,227.76,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,1000,11.2,243.62,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,10000,119.4,238.19,uk-2005_output_data_average.csv
uk-2005.egr,39459925,1566080060,100000,1215.6,243.41,uk-2005_output_data_average.csv
kmer_P1a.egr,139353211,297845870,100,38.6,330.11,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,1000,352.6,331.05,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,10000,3515.2,335.3,kmer_P1a_output_data_average.csv
kmer_P1a.egr,139353211,297845870,100000,35055.0,337.94,kmer_P1a_output_data_average.csv
