filename,depth_of_graph,delete_batch_size,simple_BFS,adam_BFS,PR_RST,source_file
uk-2002.egr,38359,100000,3567.34,4301.79,616.59,uk-2002_output_data_average.csv
indochina-2004.egr,297,100,267.53,116.41,196.71,indochina-2004_output_data_average.csv
indochina-2004.egr,297,1000,266.54,119.51,204.52,indochina-2004_output_data_average.csv
indochina-2004.egr,297,10000,267.1,116.96,220.25,indochina-2004_output_data_average.csv
indochina-2004.egr,297,100000,265.45,118.84,228.39,indochina-2004_output_data_average.csv
web-BerkStan.egr,972,100,75.27,104.48,16.26,web-BerkStan_output_data_average.csv
web-BerkStan.egr,972,1000,74.4,103.66,16.79,web-BerkStan_output_data_average.csv
web-BerkStan.egr,972,10000,74.46,103.98,14.93,web-BerkStan_output_data_average.csv
web-BerkStan.egr,972,100000,287.2,104.98,15.46,web-BerkStan_output_data_average.csv
wiki-topcats.egr,10,100,98.77,18.87,42.75,wiki-topcats_output_data_average.csv
wiki-topcats.egr,10,1000,95.17,17.56,47.66,wiki-topcats_output_data_average.csv
wiki-topcats.egr,10,10000,98.18,18.68,40.97,wiki-topcats_output_data_average.csv
wiki-topcats.egr,10,100000,95.68,17.63,40.08,wiki-topcats_output_data_average.csv
kron_g500-logn19.egr,115140,100,1578.98,13292.2,20.94,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,115140,1000,1574.44,13761.04,17.45,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,115140,10000,1590.79,13913.76,17.57,kron_g500-logn19_output_data_average.csv
kron_g500-logn19.egr,115140,100000,1586.38,13925.31,17.3,kron_g500-logn19_output_data_average.csv
higgs-twitter.egr,157,100,61.6,25.68,8.15,higgs-twitter_output_data_average.csv
higgs-twitter.egr,157,1000,60.11,24.82,9.13,higgs-twitter_output_data_average.csv
higgs-twitter.egr,157,10000,61.68,25.83,7.65,higgs-twitter_output_data_average.csv
higgs-twitter.egr,157,100000,61.18,25.5,9.06,higgs-twitter_output_data_average.csv
coPapersDBLP.egr,15,100,16.59,10.89,11.06,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,15,1000,16.47,10.53,11.53,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,15,10000,16.82,10.87,10.49,coPapersDBLP_output_data_average.csv
coPapersDBLP.egr,15,100000,16.86,11.14,11.75,coPapersDBLP_output_data_average.csv
kron_g500-logn20.egr,253380,100,3758.33,32740.67,35.25,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,253380,1000,3776.22,32864.13,33.54,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,253380,10000,3763.6,32927.99,36.08,kron_g500-logn20_output_data_average.csv
kron_g500-logn20.egr,253380,100000,3774.28,32669.82,34.42,kron_g500-logn20_output_data_average.csv
road_usa.egr,6262,100,1029.17,885.69,620.16,road_usa_output_data_average.csv
road_usa.egr,6262,1000,1037.92,884.19,618.9,road_usa_output_data_average.csv
road_usa.egr,6262,10000,1050.19,886.28,606.75,road_usa_output_data_average.csv
road_usa.egr,6288,100000,1077.03,892.96,606.94,road_usa_output_data_average.csv
eu-2005.egr,17,100,66.07,12.56,17.24,eu-2005_output_data_average.csv
eu-2005.egr,17,1000,67.11,12.59,18.99,eu-2005_output_data_average.csv
eu-2005.egr,17,10000,66.82,12.89,18.11,eu-2005_output_data_average.csv
eu-2005.egr,17,100000,65.77,12.28,18.17,eu-2005_output_data_average.csv
delaunay_n24.egr,1651,100,565.81,267.41,395.17,delaunay_n24_output_data_average.csv
delaunay_n24.egr,1651,1000,547.25,265.52,404.56,delaunay_n24_output_data_average.csv
delaunay_n24.egr,1651,10000,624.1,273.31,393.52,delaunay_n24_output_data_average.csv
delaunay_n24.egr,1651,100000,598.59,269.22,402.3,delaunay_n24_output_data_average.csv
